College,Program name,Program name_link,Credential awarded,Duration,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams
george brown college,Business – Human Resources (B134),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-human-resources-program-b134?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Human Resources Management (Postgraduate) (B408),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/human-resources-management-program-postgraduate-b408?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Analytics for Business Decision Making (Postgraduate) (B412),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/analytics-for-business-decision-making-program-postgraduate-b412?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Business (B125),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-program-b125?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Business Administration (B145),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-program-b145?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration (with work experience) (B155),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-program-with-work-experience-b155?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – International Business (B131),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-international-business-program-b131?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – International Business (with work experience) (B161),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-international-business-program-with-work-experience-b161?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – Project Management (B126),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-project-management-program-b126?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – Project Management (with work experience) (B156),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-project-management-program-with-work-experience-b156?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – Supply Chain and Operations Management (B122),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-supply-chain-and-operations-management-program-b122?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – Supply Chain and Operations Management (with work experience) (B162),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-supply-chain-and-operations-management-program-with-work-experience-b162?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Entrepreneurship Management (Postgraduate) (B416),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/entrepreneurship-management-program-postgraduate-b416?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Esports Management Postgraduate (B424),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/esports-management-program-postgraduate-b424?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
